,Date,OpenPrice_TATApower,HighPrice_TATApower,LowPrice_TATApower,ClosePrice_TATApower,WAP_TATApower,NShares_TATApower,OpenPrice_JSWenergy,HighPrice_JSWenergy,LowPrice_JSWenergy,ClosePrice_JSWenergy,WAP_JSWenergy,NShares_JSWenergy,OpenPrice_BOROSILre,HighPrice_BOROSILre,LowPrice_BOROSILre,ClosePrice_BOROSILre,WAP_BOROSILre,NShares_BOROSILre,OpenPrice_PowerGridCorp,HighPrice_PowerGridCorp,LowPrice_PowerGridCorp,ClosePrice_PowerGridCorp,WAP_PowerGridCorp,NShares_PowerGridCorp
0,7-October-2022,221.3,222.9,218.85,222.55,220.88336361944272,1042282,330.0,347.5,329.55,344.9,339.0137412977748,307249,594.75,596.85,580.2,583.75,585.9207928408421,38999,204.9,209.7,203.1,209.3,205.63041501051825,1113779
1,6-October-2022,221.3,223.25,220.55,221.7,221.94500071465268,517734,301.5,334.0,298.5,330.65,322.5944594231699,465475,586.25,595.45,585.7,589.1,591.29224167923,17246,208.9,210.95,205.55,206.3,207.77181146960652,395480
2,4-October-2022,216.5,219.95,216.2,219.0,218.10595655566675,526697,293.05,299.75,291.9,293.15,295.8493918417425,66019,582.05,593.0,580.5,584.3,586.0854214123008,16682,213.35,213.35,208.05,208.5,209.380676926062,247383
3,3-October-2022,216.5,218.05,211.95,213.25,215.36030442467668,1317633,300.0,304.8,289.75,292.1,298.9101227973408,34447,578.7,592.15,571.05,580.8,585.4376401345291,21408,212.15,214.6,209.05,210.75,211.798038611102,334049
4,30-September-2022,211.75,217.0,210.2,216.5,213.86610664709056,1503876,298.0,304.5,292.15,300.2,298.94327778292563,1575626,575.1,585.0,573.6,581.5,579.4430963061009,40797,207.75,218.6,207.45,212.15,213.1535921989696,1699878
5,29-September-2022,215.8,218.0,210.5,212.25,213.10341653695488,903927,297.0,301.95,286.55,299.0,295.3513599310681,88203,591.45,597.2,578.75,583.35,586.197088994312,40261,208.2,212.1,206.1,208.5,208.85020274115527,1349504
6,28-September-2022,215.35,216.85,212.95,213.85,215.5057857231124,606925,293.7,300.75,290.45,292.15,296.1625108727167,41388,595.65,596.65,576.45,580.5,588.992227695676,18270,204.9,210.4,202.65,207.8,206.74727696735255,828029
7,27-September-2022,217.05,219.9,214.4,217.45,217.05409447064417,1741324,297.0,308.75,296.45,299.15,301.65027973127826,89014,597.4,607.15,593.05,599.65,600.093543787512,30157,206.8,207.95,201.35,204.9,204.45913695098128,873809
8,26-September-2022,222.6,223.45,212.35,215.55,216.57362780587735,3119657,314.05,314.3,293.45,296.45,301.9629706869459,206188,600.0,600.1,568.55,592.75,588.3862280398552,66541,200.1,209.3,186.35,201.25,196.60286286434007,3889601
9,23-September-2022,231.65,232.45,223.6,224.6,227.05266238816196,1544309,331.55,333.0,317.05,319.3,324.78932230810716,38941,612.0,624.5,596.45,603.55,614.7928814697032,181751,218.9,219.85,198.05,202.6,203.9689275687093,1552920
10,22-September-2022,229.5,233.6,227.3,231.65,230.43970076099572,1442058,336.0,340.35,329.25,331.5,334.5073169578477,84598,588.0,616.4,586.0,609.75,607.5795090111559,123791,224.4,226.35,219.25,220.05,221.7496084501304,299451
11,21-September-2022,235.1,236.6,230.3,231.2,233.2387488924697,678311,336.95,347.45,333.4,338.2,339.5073607978155,67384,564.0,592.0,564.0,580.2,582.4916537267081,144256,232.65,234.2,224.45,226.4,229.48445716169047,133502
12,20-September-2022,235.3,237.5,234.5,235.15,236.17664176791533,480747,344.5,353.75,333.0,338.0,345.63613483325145,150586,566.7,574.7,565.25,566.55,569.6991803649865,44166,234.0,236.1,232.0,232.55,234.6319338337873,180636
13,19-September-2022,236.0,238.0,231.8,232.25,235.29762357337856,2730402,326.85,348.5,319.05,345.05,333.39538504010676,130402,569.55,576.15,560.3,563.3,571.1501964200792,500458,235.65,238.15,231.55,233.0,235.7080542885026,3230813
14,16-September-2022,247.15,247.85,232.7,236.7,240.13945093050927,2072306,338.25,345.75,322.2,329.75,334.39720442632495,121907,570.0,577.45,558.65,569.55,569.1195405148547,48402,237.05,238.1,233.35,235.65,234.5250236175754,1271299
15,15-September-2022,242.0,246.8,240.0,245.25,242.76479732985513,962944,342.25,348.1,337.75,341.0,341.3190755119648,44046,576.65,582.5,564.5,565.55,570.0938224409289,49178,232.2,238.25,232.2,237.7,233.70623304138095,1293590
16,14-September-2022,236.8,244.1,236.6,241.45,240.63002871737527,1219819,338.05,356.0,337.25,344.7,346.60190721132966,179634,576.0,581.95,575.0,576.6,577.5683070420408,26498,223.15,233.1,223.15,232.5,229.89764720640608,573956
17,13-September-2022,243.0,244.9,240.1,241.0,242.32547247922616,706539,348.55,351.9,342.4,344.15,346.3654890275007,39599,588.0,591.95,581.45,587.35,586.0766168000309,51738,223.7,227.4,223.7,226.65,226.1815882131747,204771
18,12-September-2022,243.2,245.2,241.6,242.75,242.93891018040088,1780313,349.0,355.0,347.0,348.35,351.927362001587,268427,580.45,592.65,580.45,582.8,586.3918330982256,67345,223.0,224.6,222.2,224.0,223.40913784021072,427125
19,9-September-2022,246.05,246.95,241.15,242.35,243.8886399082282,1440094,352.0,355.0,345.05,347.6,349.7145609621403,81485,573.3,583.7,573.3,581.15,579.4730267465874,19853,226.9,226.9,222.55,222.95,223.28638037344487,688455
20,8-September-2022,249.45,250.0,243.45,244.9,245.98206280674736,1693576,352.95,359.95,348.0,351.65,350.9450124238918,52721,573.7,580.05,565.2,573.25,573.7833502976465,32421,225.1,226.85,223.45,224.25,224.2033154795372,844825
21,7-September-2022,247.0,251.0,245.05,246.95,247.9464876386843,2943376,358.0,366.8,350.85,352.55,357.6832907756144,125320,567.5,575.55,564.55,570.0,570.7372720597234,32684,223.0,226.85,223.0,224.45,224.97187312501012,123334
22,6-September-2022,237.3,248.0,237.3,247.35,244.69353114934427,2845405,356.55,364.9,351.4,359.2,358.6116770489801,81870,561.05,573.8,561.05,568.3,567.0733116741361,77873,223.5,227.9,223.5,225.0,225.4013349891338,966300
23,5-September-2022,235.1,238.4,235.1,236.4,236.67664904162112,733426,349.5,369.0,344.0,354.1,356.399807224026,236544,568.0,572.0,557.55,559.05,563.5844067454816,39671,224.15,225.45,221.7,223.65,223.06941220547657,2415555
24,2-September-2022,238.1,239.5,233.3,235.0,237.4312478875108,949709,355.0,358.9,343.35,349.5,347.99290863800053,144119,558.0,570.75,557.75,561.85,564.9450249100471,57808,226.3,228.75,223.85,224.2,225.6198953147596,156278
25,1-September-2022,235.8,240.15,234.45,237.1,237.21426894679783,847729,342.8,358.35,339.0,353.5,351.2703249057059,464504,568.0,571.2,554.7,557.75,560.2915682182709,57983,226.0,230.05,225.0,226.15,227.10376720408965,190725
